ID,Spin_20_emotionregulation_scale_inverted,Spin_20_compliance_scale_inverted,Spin_20_attentiveness_scale_inverted,Spin_20_selfreliance_scale_inverted,Spin_20_motivatedness_scale_inverted,Spin_20_flexibility_scale_inverted,DelAlt_20_perseveration_scale_consensus,DelAlt_20_attentiveness_scale_consensus,DelAlt_20_Strategicness_scale_consensus,DelAlt_20_Selfreliance_scale_consensus,DelAlt_20_Motivatedness_scale_consensus,DelAlt_20_performancescore,Spin_20_propaccuracyscore_childissuescodedas0,EEFQ_Regulation_20.70pc,EEFQ_CEF_20.70pc,child_sex
1000,4.00,3.33,4.00,4.00,1.00,-7.50,0.46,3.58,4.00,4.00,1.50,0.33,0.19,2.86,4.13,1.00
1001,4.00,2.00,3.00,4.00,1.33,5.00,1.00,3.00,4.00,3.33,2.50,0.18,0.00,4.63,4.24,1.00
1002,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.47,3.83,4.00,4.00,3.25,0.40,0.67,4.88,3.83,0.00
1003,4.00,4.00,4.00,4.00,1.33,5.00,0.37,3.33,4.00,3.83,1.75,0.47,0.36,3.25,4.43,1.00
1004,#NULL!,#NULL!,4.00,#NULL!,1.50,-5.00,0.83,3.50,4.00,3.67,2.25,0.17,0.30,5.75,4.61,1.00
1005,4.00,2.67,4.00,4.00,2.00,-9.29,0.10,3.33,4.00,4.00,3.50,0.87,0.21,6.63,4.65,1.00
1006,4.00,3.67,4.00,4.00,1.67,5.00,0.43,3.92,4.00,4.00,1.75,0.47,0.50,6.00,3.96,1.00
1008,1.00,2.00,2.63,4.00,2.00,-5.71,0.61,3.83,4.00,4.00,1.50,0.21,0.29,3.75,3.52,0.00
1009,3.33,4.00,3.50,4.00,2.67,5.00,0.33,3.45,4.00,3.67,2.50,0.47,0.30,6.38,4.74,0.00
1013,4.00,3.00,3.00,4.00,1.67,-2.69,0.27,3.33,4.00,3.67,3.25,0.60,0.31,4.75,5.00,0.00
1014,4.00,4.00,4.00,4.00,2.33,-3.33,0.92,3.42,4.00,4.00,2.00,0.08,0.33,#NULL!,#NULL!,1.00
1015,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.88,3.33,4.00,3.50,1.50,0.08,0.57,6.00,5.27,0.00
1017,4.00,3.67,4.00,4.00,1.33,-5.71,0.53,2.92,4.00,3.50,3.25,0.33,0.29,6.50,5.26,0.00
1018,4.00,4.00,4.00,4.00,1.33,-10.38,0.30,3.75,4.00,4.00,1.50,0.60,0.31,4.63,5.05,1.00
1019,4.00,4.00,4.00,4.00,1.67,-9.29,0.82,3.42,4.00,4.00,3.00,0.15,0.57,4.63,4.52,0.00
1020,4.00,4.00,2.50,2.67,1.00,-7.50,0.30,3.67,4.00,4.00,2.75,0.60,0.33,4.88,4.00,0.00
1024,4.00,3.33,4.00,4.00,1.33,5.00,0.38,3.75,4.00,3.50,3.50,0.50,0.44,4.43,3.29,1.00
1026,2.00,3.67,3.63,4.00,2.00,-25.00,0.78,3.83,4.00,4.00,3.25,0.15,0.00,6.00,4.57,0.00
1027,4.00,3.00,4.00,4.00,1.67,-13.75,0.50,3.58,4.00,4.00,3.75,0.33,0.50,3.25,4.22,1.00
1029,4.00,3.67,4.00,4.00,1.67,-7.50,0.59,3.75,4.00,4.00,2.75,0.23,0.50,5.75,2.32,0.00
1031,4.00,4.00,4.00,4.00,1.33,-16.88,0.92,3.67,4.00,3.83,2.75,0.08,0.19,4.88,4.52,0.00
1032,4.00,2.00,2.13,3.67,1.00,5.00,#NULL!,1.83,#NULL!,1.00,4.00,0.00,0.00,4.00,4.59,0.00
1033,4.00,3.67,4.00,4.00,1.33,-11.67,0.45,3.67,4.00,4.00,1.00,0.43,0.44,6.00,5.59,0.00
1035,4.00,4.00,4.00,4.00,1.33,-5.00,0.57,3.67,4.00,4.00,2.00,0.33,0.40,5.25,5.27,0.00
1036,4.00,3.67,4.00,4.00,1.67,-11.67,0.92,3.67,4.00,4.00,2.00,0.08,0.67,6.13,5.26,1.00
1038,4.00,2.00,2.00,3.00,1.00,#NULL!,0.57,3.83,4.00,3.83,2.50,0.21,0.00,4.13,4.09,1.00
1040,4.00,3.00,4.00,4.00,1.33,-1.67,0.92,3.50,4.00,3.83,1.00,0.08,0.19,5.13,4.52,1.00
